City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,mata-utu,-13.2816,-176.1745,27.34,79,11,2.74,WF,1691513136
301,xuddur,4.1213,43.8894,27.31,46,97,8.87,SO,1691513136
302,snihurivka,47.0758,32.8052,18.53,64,75,11.3,UA,1691513136
303,launceston,-41.45,147.1667,5.08,93,27,3.09,AU,1691513136
304,portland,45.5234,-122.6762,22.25,74,75,2.06,US,1691512967
305,tchintabaraden,15.8969,5.7985,32.19,43,100,0.91,NE,1691513136
306,kenzhe,43.5017,43.5572,30.44,55,31,2.0,RU,1691513136
307,naze,28.3667,129.4833,24.51,92,100,12.22,JP,1691513137
308,domusnovas,39.3219,8.6486,29.24,38,0,3.83,IT,1691513137
309,coruripe,-10.1256,-36.1756,26.54,72,54,4.54,BR,1691513137
310,pak phanang,8.3511,100.202,27.12,76,76,3.42,TH,1691513137
311,saint-philippe,-21.3585,55.7679,20.77,77,43,4.61,RE,1691513137
312,lerwick,60.1545,-1.1494,11.0,76,100,13.3,GB,1691513137
313,jayapura,-2.5333,140.7,23.66,92,73,2.1,ID,1691513137
314,kotel'nikovo,47.6317,43.1461,30.55,29,0,3.61,RU,1691513137
315,cannonvale,-20.2833,148.7,19.66,85,13,5.72,AU,1691513137
316,necochea,-38.5473,-58.7368,10.43,52,100,7.16,AR,1691513137
317,goulburn,-34.75,149.7167,5.44,99,40,1.79,AU,1691513137
318,lubang,13.8584,120.124,28.57,79,88,5.39,PH,1691513137
319,noosa heads,-26.3833,153.15,13.95,70,57,5.86,AU,1691513137
320,aljezur,37.3191,-8.8033,28.14,58,55,3.91,PT,1691513138
321,tralee,52.2704,-9.7026,21.14,78,75,3.09,IE,1691513138
322,arica,-18.475,-70.3042,22.75,60,0,6.17,CL,1691512930
323,qamdo,31.1667,97.2333,7.82,76,22,1.53,CN,1691513138
324,margate,51.3813,1.3862,17.17,88,100,3.58,GB,1691513138
325,shahr-e babak,30.1165,55.1186,28.42,23,95,6.31,IR,1691513138
326,kataba,13.9833,44.3833,21.82,49,99,2.48,YE,1691513138
327,trincomalee,8.5711,81.2335,27.63,73,97,4.82,LK,1691513138
328,hawaiian paradise park,19.5933,-154.9731,23.83,88,100,1.54,US,1691513139
329,sainte-maxime,43.3,6.6333,28.75,58,21,2.24,FR,1691513139
330,igrim,63.1906,64.4162,18.9,75,30,3.07,RU,1691513139
331,caluula,11.9661,50.7569,29.97,68,48,0.79,SO,1691513139
332,villa bruzual,9.3328,-69.1208,31.17,63,22,3.27,VE,1691513139
333,ardakan,32.31,54.0175,33.54,20,57,0.88,IR,1691513139
334,tshabong,-26.05,22.45,15.96,31,1,2.05,BW,1691513139
335,thakhek,17.4103,104.8307,23.18,96,99,1.76,LA,1691513139
336,karatau,43.1667,70.4667,24.01,44,65,1.64,KZ,1691513139
337,sassandra,4.95,-6.0833,25.01,84,79,4.81,CI,1691513139
338,veraval,20.9,70.3667,26.98,84,100,8.18,IN,1691513139
339,al ghayzah,16.2079,52.176,26.61,83,93,5.09,YE,1691513139
340,bogande,12.9714,-0.1436,27.95,66,100,3.78,BF,1691513140
341,kapuskasing,49.4169,-82.4331,23.05,64,75,2.06,CA,1691512922
342,enewetak,11.3474,162.3373,28.14,79,90,5.49,MH,1691513140
343,ponferrada,42.5466,-6.5962,40.12,12,0,0.89,ES,1691513140
344,badger,64.8,-147.5333,15.28,93,75,2.57,US,1691513140
345,cooper's town,26.8667,-77.5167,29.84,77,6,3.74,BS,1691513140
346,debre tabor,11.85,38.0167,11.65,91,72,0.56,ET,1691513140
347,esik,43.3552,77.4525,17.68,59,96,2.89,KZ,1691513140
